player_name,matches_played,mins,goals,xg,goals_vs_xg,shots,sot,conv_percentage,xg_per_shot,player_id,club_name
Erling Haaland,35,2958,27,25.39,1.61,126,59,21.43%,0.20,p223094,Man City
Igor Thiago,38,3284,22,20.58,1.42,84,43,26.19%,0.25,p502500,Brentford
Dominic Calvert-Lewin,35,2726,14,15.81,-1.81,74,34,18.92%,0.21,p177815,Leeds
Ollie Watkins,37,2852,16,15.14,0.86,83,38,19.28%,0.18,p178301,Aston Villa
João Pedro,35,2674,15,14.96,0.04,73,28,20.55%,0.20,p475168,Chelsea
Jean-Philippe Mateta,32,2222,12,14.51,-2.51,63,32,19.05%,0.23,p231747,Crystal Palace
Danny Welbeck,37,2263,13,12.44,0.56,56,28,23.21%,0.22,p50175,Brighton
Viktor Gyökeres,36,2230,14,12.40,1.60,55,22,25.45%,0.23,p224117,Arsenal
Bryan Mbeumo,33,2621,11,12.19,-1.19,73,32,15.07%,0.17,p446008,Man Utd
Kevin Schade,35,2757,8,12.18,-4.18,57,24,14.04%,0.21,p513418,Brentford
Raúl Jiménez,36,2199,9,11.50,-2.50,74,19,12.16%,0.16,p102057,Fulham
Enzo Fernández,36,3121,10,11.29,-1.29,72,31,13.89%,0.16,p448047,Chelsea
Antoine Semenyo,37,3200,17,11.09,5.91,83,41,20.48%,0.13,p437730,Man City
Ismaïla Sarr,28,2176,9,10.91,-1.91,48,21,18.75%,0.23,p232185,Crystal Palace
Morgan Gibbs-White,37,3110,15,10.84,4.16,83,32,18.07%,0.13,p222531,Nott'm Forest
Bruno Fernandes,35,3066,9,10.83,-1.83,85,24,10.59%,0.13,p141746,Man Utd
Evanilson,36,2759,6,10.59,-4.59,70,22,8.57%,0.15,p444102,Bournemouth
Cole Palmer,26,1965,10,10.56,-0.56,64,25,15.62%,0.17,p244851,Chelsea
Hugo Ekitiké,28,1810,11,9.87,1.13,65,19,16.92%,0.15,p510663,Liverpool
Benjamin Sesko,30,1635,11,9.20,1.80,61,34,18.03%,0.15,p485711,Man Utd
Marcus Tavernier,34,2738,7,9.06,-2.06,70,24,10.00%,0.13,p201658,Bournemouth
Beto,37,1565,9,8.91,0.09,43,17,20.93%,0.21,p486385,Everton
Anthony Gordon,26,1814,6,8.83,-2.83,48,20,12.50%,0.18,p232826,Newcastle
Cody Gakpo,36,2747,7,8.46,-1.46,87,21,8.05%,0.10,p243298,Liverpool
Junior Kroupi,33,1683,13,8.35,4.65,52,22,25.00%,0.16,p560262,Bournemouth
Mohamed Salah,27,2148,7,8.16,-1.16,68,19,10.29%,0.12,p118748,Liverpool
Thierno Barry,38,1915,8,8.15,-0.15,38,14,21.05%,0.21,p586309,Everton
Richarlison,32,1957,11,8.09,2.91,61,26,18.03%,0.13,p212319,Spurs
Zian Flemming,29,1776,11,7.87,3.13,53,21,20.75%,0.15,p431639,Burnley
Dango Ouattara,32,2279,7,7.72,-0.72,56,20,12.50%,0.14,p533463,Brentford
Callum Wilson,32,1243,7,7.66,-0.66,38,16,18.42%,0.20,p75115,West Ham
Bukayo Saka,31,2225,7,7.55,-0.55,71,27,9.86%,0.11,p223340,Arsenal
Jarrod Bowen,38,3405,9,7.26,1.74,79,28,11.39%,0.09,p178186,West Ham
Lukas Nmecha,31,1073,6,7.23,-1.23,30,16,20.00%,0.24,p174594,Leeds
Harvey Barnes,37,1961,7,7.07,-0.07,58,21,12.07%,0.12,p201666,Newcastle
Matheus Cunha,33,2503,10,7.06,2.94,90,35,11.11%,0.08,p430871,Man Utd
Florian Wirtz,33,2388,5,7.02,-2.02,51,18,9.80%,0.14,p494595,Liverpool
Morgan Rogers,37,3285,10,6.78,3.22,84,32,11.90%,0.08,p244850,Aston Villa
Iliman Ndiaye,32,2786,6,6.71,-0.71,43,22,13.95%,0.16,p440993,Everton
Igor Jesus,37,2314,6,6.64,-0.64,70,21,8.57%,0.09,p482973,Nott'm Forest
Nick Woltemade,33,1912,8,6.59,1.41,32,13,25.00%,0.21,p470313,Newcastle
Diego Gómez,32,2136,5,6.29,-1.29,42,14,11.90%,0.15,p514254,Brighton
Phil Foden,33,2084,7,6.15,0.85,55,19,12.73%,0.11,p209244,Man City
Nico O'Reilly,34,2648,5,6.03,-1.03,41,15,12.20%,0.15,p472769,Man City
Brian Brobbey,31,1931,7,5.94,1.06,36,18,19.44%,0.16,p441264,Sunderland
Harry Wilson,36,2691,10,5.83,4.17,78,25,12.82%,0.07,p153682,Fulham
David Brooks,31,1199,1,5.83,-4.83,48,13,2.08%,0.12,p111317,Bournemouth
Valentín Castellanos,18,1395,6,5.80,0.20,50,22,12.00%,0.12,p247670,West Ham
Tomás Soucek,35,2198,5,5.68,-0.68,26,14,19.23%,0.22,p215439,West Ham
Bruno Guimarães,29,2455,9,5.60,3.40,42,23,21.43%,0.13,p208706,Newcastle
Amad Diallo,32,2344,2,5.57,-3.57,53,23,3.77%,0.11,p493250,Man Utd
Casemiro,34,2588,9,5.52,3.48,52,18,17.31%,0.11,p61256,Man Utd
Leandro Trossard,31,2006,6,5.47,0.53,53,15,11.32%,0.10,p116216,Arsenal
Tolu Arokodare,33,1407,3,5.46,-2.46,47,16,6.38%,0.12,p488213,Wolves
Jørgen Strand Larsen,36,2316,4,5.32,-1.32,44,14,9.09%,0.12,p247412,Crystal Palace
Noah Okafor,28,1568,8,5.26,2.74,35,15,22.86%,0.15,p435997,Leeds
Crysencio Summerville,31,2480,5,5.17,-0.17,54,15,9.26%,0.10,p450070,West Ham
Enzo Le Fée,36,2934,5,5.15,-0.15,36,12,13.89%,0.14,p484420,Sunderland
Jaidon Anthony,37,2735,8,5.13,2.87,55,23,14.55%,0.09,p444180,Burnley
Eberechi Eze,33,1900,7,5.05,1.95,63,20,11.11%,0.08,p232413,Arsenal
Jack Hinshelwood,27,1750,4,4.92,-0.92,37,15,10.81%,0.13,p532529,Brighton
Dominik Szoboszlai,36,3233,6,4.85,1.15,71,23,8.45%,0.07,p424876,Liverpool
Emile Smith Rowe,37,1928,3,4.77,-1.77,36,11,8.33%,0.13,p209289,Fulham
Jurriën Timber,30,2457,3,4.77,-1.77,25,7,12.00%,0.19,p445122,Arsenal
Wilson Isidor,32,1158,6,4.75,1.25,43,17,13.95%,0.11,p437505,Sunderland
Malick Thiaw,35,2964,4,4.72,-0.72,28,14,14.29%,0.17,p465642,Newcastle
Pedro Neto,34,2643,5,4.62,0.38,46,13,10.87%,0.10,p247632,Chelsea
Brenden Aaronson,37,2465,4,4.55,-0.55,47,17,8.51%,0.10,p427637,Leeds
Yéremy Pino,34,2091,2,4.51,-2.51,45,11,4.44%,0.10,p488024,Crystal Palace
Liam Delap,28,1102,1,4.47,-3.47,36,11,2.78%,0.12,p463034,Chelsea
Tijjani Reijnders,28,1636,5,4.45,0.55,49,16,10.20%,0.09,p433036,Man City
Kiernan Dewsbury-Hall,31,2635,8,4.31,3.69,39,15,20.51%,0.11,p215413,Everton
William Osula,24,811,7,4.29,2.71,23,12,30.43%,0.19,p538207,Newcastle
Chris Wood,15,906,3,4.25,-1.25,23,9,13.04%,0.18,p60689,Nott'm Forest
Rayan Cherki,33,1786,4,4.13,-0.13,55,13,7.27%,0.08,p466052,Man City
Marc Guéhi,35,3150,3,4.12,-1.12,32,9,9.38%,0.13,p209036,Man City
Donyell Malen,21,645,4,4.07,-0.07,27,9,14.81%,0.15,p204646,Aston Villa
Kaoru Mitoma,25,1721,3,4.06,-1.06,32,13,9.38%,0.13,p451340,Brighton
Gabriel Martinelli,30,1073,1,3.99,-2.99,29,13,3.45%,0.14,p444145,Arsenal
Alexis Mac Allister,37,2662,2,3.89,-1.89,52,12,3.85%,0.07,p243016,Liverpool
Alex Scott,37,2859,3,3.81,-0.81,44,13,6.82%,0.09,p503139,Bournemouth
Yankuba Minteh,34,2398,3,3.80,-0.80,41,11,7.32%,0.09,p592031,Brighton
Virgil van Dijk,38,3420,6,3.77,2.23,30,14,20.00%,0.13,p97032,Liverpool
Taiwo Awoniyi,17,481,4,3.58,0.42,15,8,26.67%,0.24,p210156,Nott'm Forest
Alejandro Garnacho,24,1268,1,3.45,-2.45,33,7,3.03%,0.10,p493105,Chelsea
Emiliano Buendía,36,1759,6,3.42,2.58,49,13,12.24%,0.07,p195546,Aston Villa
Habib Diarra,20,1407,2,3.41,-1.41,26,8,7.69%,0.13,p547027,Sunderland
